Year,RS,RA,W,OBP,SLG,BA,G,run_diff,RS_per_game,RA_per_game,OPS,prev_wins,wins_3yr_avg,prev_run_diff,OBP_3yr_avg,SLG_3yr_avg,League_NL,Franchise_ATL,Franchise_BAL,Franchise_BOS,Franchise_CHC,Franchise_CHW,Franchise_CIN,Franchise_CLE,Franchise_COL,Franchise_DET,Franchise_HOU,Franchise_KCR,Franchise_LAA,Franchise_LAD,Franchise_MIA,Franchise_MIL,Franchise_MIN,Franchise_NYM,Franchise_NYY,Franchise_OAK,Franchise_PHI,Franchise_PIT,Franchise_SDP,Franchise_SEA,Franchise_SFG,Franchise_STL,Franchise_TBR,Franchise_TEX,Franchise_TOR,Franchise_WSN,era_1977_1993,era_1994_1998,era_1999_2012
2012,667,845,68,0.324,0.381,0.251,162,-178,4.117283950617284,5.216049382716049,0.7050000000000001,80.0,71.33333333333333,-56.0,0.326,0.397,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2012,697,577,90,0.317,0.394,0.24,162,120,4.302469135802469,3.5617283950617282,0.7110000000000001,91.0,90.33333333333333,93.0,0.33266666666666667,0.41466666666666674,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2012,726,670,88,0.335,0.422,0.268,162,56,4.481481481481482,4.135802469135802,0.757,95.0,87.33333333333333,76.0,0.3353333333333333,0.4216666666666667,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2012,758,890,64,0.33,0.436,0.274,162,-132,4.679012345679013,5.493827160493828,0.766,73.0,82.66666666666667,-39.0,0.336,0.42533333333333334,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2012,583,794,55,0.302,0.371,0.236,162,-211,3.5987654320987654,4.901234567901234,0.673,56.0,68.66666666666667,-181.0,0.311,0.3786666666666667,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2012,700,600,94,0.32,0.389,0.247,162,100,4.320987654320987,3.7037037037037037,0.7090000000000001,89.0,88.66666666666667,36.0,0.32866666666666666,0.39766666666666667,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2012,669,588,97,0.315,0.411,0.251,162,81,4.12962962962963,3.6296296296296298,0.726,79.0,82.66666666666667,15.0,0.3273333333333333,0.4126666666666667,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2012,765,648,88,0.338,0.421,0.271,162,117,4.722222222222222,4.0,0.759,90.0,89.0,70.0,0.33499999999999996,0.414,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2012,767,699,89,0.332,0.433,0.274,162,68,4.734567901234568,4.314814814814815,0.765,86.0,87.66666666666667,34.0,0.32466666666666666,0.41100000000000003,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2012,637,597,86,0.317,0.374,0.252,162,40,3.932098765432099,3.685185185185185,0.6910000000000001,82.0,85.66666666666667,32.0,0.33,0.38866666666666666,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
